Wall time,Step,Value
1738750752.0633726,687,0.04147709533572197
1738754174.8324773,1375,0.04140380397439003
1738757520.3471007,2063,0.04055036976933479
1738760723.5366247,2751,0.04083644971251488
1738763916.6312616,3439,0.04081474244594574
1738767272.462072,4127,0.040292639285326004
1738770466.391755,4815,0.04004870727658272
1738773656.5152683,5503,0.04044342413544655
1738776934.3172228,6191,0.03994470089673996
1738780151.5010822,6879,0.040057532489299774
1738783391.4517488,7567,0.040055520832538605
1738786760.328846,8255,0.039258938282728195
1738790011.3156154,8943,0.03972560912370682
1738793233.5690167,9631,0.03954087570309639
1738796513.1409252,10319,0.03973005712032318
1738799742.9882462,11007,0.03998446464538574
1738802919.8272135,11695,0.03964480757713318
1738806191.2704873,12383,0.03951425850391388
1738809403.6463807,13071,0.03957914188504219
1738812625.838658,13759,0.03968746215105057
1738815897.256989,14447,0.03924739360809326
1738819108.2025013,15135,0.03878447785973549
1738822282.0888162,15823,0.039078112691640854
1738825664.1571202,16511,0.03917467221617699
1738828859.6183863,17199,0.039128419011831284
1738832024.733597,17887,0.038587797433137894
1738835287.519599,18575,0.0390750877559185
1738838496.252606,19263,0.038586560636758804
1738841770.4195087,19951,0.03839452192187309
1738845082.0843728,20639,0.038092661648988724
1738848278.8322618,21327,0.03903811052441597
1738851463.1812284,22015,0.03876277431845665
